                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.81315,                0.49747,                 1.0267,                0.96937,                0.97889,                0.98784,                0.69646,                 1.1607,                0.47378,                 1.2153,              0.0009308,              0.0009308,              0.0009308
                     57,                0.80335,                0.49439,                 1.0242,                0.96968,                0.98905,                0.99016,                 0.6952,                 1.1735,                0.49021,                 1.2184,               0.000911,               0.000911,               0.000911
                     58,                0.79592,                0.48473,                 1.0166,                0.97543,                0.97938,                0.98559,                0.69334,                 1.1316,                  0.466,                 1.2013,              0.0008912,              0.0008912,              0.0008912
                     59,                0.79174,                 0.4953,                 1.0266,                0.98969,                0.98923,                 0.9832,                 0.6874,                 1.1165,                0.45895,                 1.1933,              0.0008714,              0.0008714,              0.0008714
                     60,                0.78535,                0.46748,                  1.001,                0.98806,                0.97938,                0.99025,                0.69986,                 1.1282,                0.46418,                 1.2082,              0.0008516,              0.0008516,              0.0008516
                     61,                0.78602,                0.47709,                 1.0094,                0.96888,                0.96307,                0.98165,                0.70405,                 1.1131,                0.48145,                 1.1975,              0.0008318,              0.0008318,              0.0008318
                     62,                0.77157,                0.46452,                  1.002,                0.97935,                0.97803,                0.98382,                 0.7057,                 1.1666,                 0.4882,                 1.2441,               0.000812,               0.000812,               0.000812
                     63,                0.76841,                0.47201,                 1.0026,                0.96526,                0.96907,                0.97532,                0.70018,                 1.2122,                0.52712,                 1.2614,              0.0007922,              0.0007922,              0.0007922
                     64,                0.75928,                0.47293,                0.99331,                0.98864,                0.98969,                0.98672,                    0.7,                 1.1476,                0.47929,                 1.2188,              0.0007724,              0.0007724,              0.0007724
                     65,                0.79537,                0.47923,                 1.0079,                0.96704,                0.98969,                0.99074,                 0.7103,                 1.1248,                0.48498,                 1.2205,              0.0007526,              0.0007526,              0.0007526
                     66,                0.77136,                0.45883,                  1.007,                0.98523,                0.97938,                0.98797,                0.71648,                  1.146,                0.46799,                 1.2106,              0.0007328,              0.0007328,              0.0007328
                     67,                0.72853,                  0.452,                0.98878,                0.97934,                0.97741,                0.98381,                0.68496,                 1.1576,                0.47663,                 1.2292,               0.000713,               0.000713,               0.000713
                     68,                0.74339,                0.45509,                0.99965,                0.96702,                0.96907,                0.98825,                0.69088,                  1.182,                0.50279,                   1.24,              0.0006932,              0.0006932,              0.0006932
                     69,                0.74715,                0.45061,                 1.0034,                0.97914,                0.96803,                0.98839,                0.70717,                 1.1427,                0.44625,                  1.243,              0.0006734,              0.0006734,              0.0006734
                     70,                0.71121,                0.44354,                0.98091,                0.97959,                0.98938,                0.98775,                0.71447,                 1.1363,                0.46901,                 1.2213,              0.0006536,              0.0006536,              0.0006536
                     71,                0.69275,                0.42377,                0.96412,                0.97867,                0.98969,                0.98691,                0.71305,                 1.1236,                 0.4623,                 1.2117,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7035,                0.43962,                0.98287,                0.96968,                0.98898,                0.99315,                0.72188,                 1.0897,                0.44717,                 1.1888,               0.000614,               0.000614,               0.000614
                     73,                0.72464,                0.44128,                0.98816,                0.97673,                0.98969,                0.98402,                0.68858,                 1.1459,                0.46542,                 1.2309,              0.0005942,              0.0005942,              0.0005942
                     74,                0.69055,                0.43028,                 0.9789,                0.98958,                0.97927,                0.98589,                0.71222,                 1.1101,                0.45724,                 1.2125,              0.0005744,              0.0005744,              0.0005744
                     75,                0.69389,                0.41706,                0.98399,                0.97919,                0.97938,                0.99014,                0.70785,                 1.1173,                0.46274,                 1.2102,              0.0005546,              0.0005546,              0.0005546
                     76,                0.69429,                0.42501,                0.97458,                 0.9793,                0.97938,                0.99038,                0.72312,                 1.1115,                0.45409,                 1.2142,              0.0005348,              0.0005348,              0.0005348
                     77,                0.67788,                0.42609,                0.96718,                0.97958,                0.98897,                 0.9923,                0.70419,                 1.1121,                0.42152,                 1.2186,               0.000515,               0.000515,               0.000515
                     78,                0.67154,                  0.423,                0.96445,                0.98704,                0.96907,                0.99172,                0.71098,                 1.1072,                0.44956,                 1.1946,              0.0004952,              0.0004952,              0.0004952
                     79,                0.66509,                0.41924,                 0.9761,                0.98375,                0.96907,                0.99061,                0.71818,                 1.1142,                0.45701,                 1.2043,              0.0004754,              0.0004754,              0.0004754
                     80,                0.66652,                0.41631,                0.96986,                0.97586,                0.97938,                0.99108,                0.72392,                 1.1237,                0.44485,                 1.1888,              0.0004556,              0.0004556,              0.0004556
                     81,                0.64103,                0.40287,                0.95838,                0.97904,                0.97938,                  0.988,                0.69933,                 1.1195,                0.44196,                 1.2148,              0.0004358,              0.0004358,              0.0004358
                     82,                0.64437,                 0.3979,                 0.9551,                0.97792,                      1,                0.98797,                0.71371,                 1.1337,                0.41581,                 1.2251,               0.000416,               0.000416,               0.000416
                     83,                0.64299,                  0.404,                0.95351,                0.97959,                0.98945,                0.98781,                0.71412,                   1.09,                0.42519,                 1.1948,              0.0003962,              0.0003962,              0.0003962
                     84,                0.63159,                0.39729,                0.95469,                0.98958,                0.97885,                0.99067,                0.71444,                 1.1175,                0.43269,                 1.2165,              0.0003764,              0.0003764,              0.0003764
                     85,                0.62401,                0.39387,                0.94543,                0.97838,                0.97938,                0.98559,                 0.7144,                 1.1188,                0.45165,                 1.2039,              0.0003566,              0.0003566,              0.0003566
                     86,                0.62001,                0.37814,                0.95247,                0.97858,                0.97938,                0.98609,                 0.7048,                 1.0984,                 0.4383,                 1.2114,              0.0003368,              0.0003368,              0.0003368
                     87,                0.60692,                  0.379,                0.94262,                0.97846,                0.98969,                0.98652,                 0.7113,                 1.0795,                 0.4302,                 1.1977,               0.000317,               0.000317,               0.000317
